年度,洲別,name,value
108,歐洲,英國,"3,850"
108,歐洲,法國,648
108,歐洲,德國,"2,390"
108,歐洲,波蘭,853
108,歐洲,奧地利,413
108,歐洲,西班牙,450
108,歐洲,義大利,197
108,歐洲,荷蘭,353
108,歐洲,比利時,232
108,歐洲,匈牙利,147
108,歐洲,愛爾蘭,21
108,歐洲,俄羅斯,160
108,歐洲,丹麥,23
108,歐洲,芬蘭,46
108,歐洲,挪威,12
108,歐洲,瑞典,160
108,歐洲,冰島,2
108,美洲,加拿大,"4,390"
108,美洲,美國,"23,369"
108,美洲,智利,1
108,美洲,哥倫比亞,5
108,美洲,聖露西亞,3
108,美洲,聖克里斯多福及尼維斯,3
108,亞洲,日本,"9,524"
108,亞洲,韓國,"2,162"
108,亞洲,泰國,305
108,亞洲,越南,74
108,亞洲,馬來西亞,501
108,亞洲,印尼,25
108,亞洲,印度,23
108,亞洲,土耳其,20
108,亞洲,菲律賓,101
108,亞洲,新加坡,8
108,亞洲,科威特,10
108,亞洲,以色列,34
108,亞洲,沙烏地阿拉伯,20
108,亞洲,阿拉伯聯合大公國(杜拜地區),4
108,亞洲,巴林,1
108,大洋洲,澳大利亞,"18,791"
108,大洋洲,紐西蘭,"1,890"
