年度,洲別,name,value
111,美洲,加拿大,"3,800"
111,美洲,美國,"20,487"
111,美洲,貝里斯,2
111,美洲,"聖克里斯多福及
尼維斯",1
111,美洲,聖露西亞,2
111,美洲,聖文森國,1
111,美洲,智利,1
111,亞洲,日本,"4,887"
111,亞洲,韓國,"1,871"
111,亞洲,菲律賓,95
111,亞洲,越南,77
111,亞洲,泰國,200
111,亞洲,印尼,10
111,亞洲,馬來西亞,430
111,亞洲,新加坡,75
111,亞洲,印度,12
111,亞洲,阿拉伯聯合大公國,72
111,亞洲,沙烏地阿拉伯,9
111,亞洲,土耳其,8
111,亞洲,阿曼,1
111,亞洲,約旦,2
111,亞洲,蒙古,1
111,亞洲,科威特,6
111,亞洲,巴林,7
111,亞洲,以色列,17
111,非洲,奈及利亞,1
111,非洲,南非,1
111,歐洲,英國,"3,235"
111,歐洲,愛爾蘭,27
111,歐洲,法國,353
111,歐洲,義大利,360
111,歐洲,西班牙,648
111,歐洲,葡萄牙,5
111,歐洲,德國,"2,790"
111,歐洲,捷克,120
111,歐洲,荷蘭,574
111,歐洲,比利時,226
111,歐洲,瑞士,310
111,歐洲,奧地利,393
111,歐洲,波蘭,810
111,歐洲,立陶宛,5
111,歐洲,拉脫維亞,15
111,歐洲,愛沙尼亞,18
111,歐洲,丹麥,16
111,歐洲,挪威,18
111,歐洲,瑞典,164
111,歐洲,芬蘭,32
111,歐洲,俄羅斯,45
111,歐洲,白俄羅斯,1
111,歐洲,斯洛伐克,3
111,歐洲,匈牙利,160
111,歐洲,梵蒂岡,7
111,大洋洲,澳大利亞,"11,877"
111,大洋洲,紐西蘭,385
111,大洋洲,帛琉,7
111,大洋洲,馬紹爾群島共和國,1
