年度,洲別,name,value
106,歐洲,英國,"3,920"
106,歐洲,法國,"1,004"
106,歐洲,德國,"1,755"
106,歐洲,波蘭,758
106,歐洲,奧地利,456
106,歐洲,捷克,43
106,歐洲,比利時,120
106,歐洲,瑞士,307
106,歐洲,義大利,250
106,歐洲,西班牙,300
106,歐洲,土耳其,36
106,歐洲,愛爾蘭,10
106,歐洲,俄羅斯,172
106,歐洲,丹麥,24
106,歐洲,荷蘭,400
106,歐洲,芬蘭,45
106,歐洲,挪威,7
106,歐洲,瑞典,105
106,美洲,加拿大,"3,202"
106,美洲,美國,"21,127"
106,美洲,巴拿馬,20
106,亞洲,日本,"9,642"
106,亞洲,韓國,242
106,亞洲,泰國,176
106,亞洲,越南,154
106,亞洲,馬來西亞,513
106,亞洲,印尼,16
106,亞洲,印度,13
106,亞洲,以色列,19
106,亞洲,阿拉伯聯合大公國(杜拜地區),21
106,亞洲,約旦,20
106,大洋洲,澳大利亞,"16,573"
106,大洋洲,紐西蘭,"1,820"
