年度,洲別,name,value
109,歐洲,英國,"4,045"
109,歐洲,法國,668
109,歐洲,德國,"3,155"
109,歐洲,波蘭,"1,007"
109,歐洲,奧地利,428
109,歐洲,西班牙,350
109,歐洲,義大利,212
109,歐洲,荷蘭,504
109,歐洲,比利時,178
109,歐洲,匈牙利,160
109,歐洲,愛爾蘭,21
109,歐洲,俄羅斯,71
109,歐洲,烏克蘭,10
109,歐洲,丹麥,22
109,歐洲,芬蘭,37
109,歐洲,挪威,14
109,歐洲,瑞典,137
109,歐洲,冰島,0
109,歐洲,立陶宛,16
109,歐洲,拉脫維亞,17
109,歐洲,愛沙尼亞,8
109,歐洲,斯洛伐克,1
109,美洲,加拿大,"5,123"
109,美洲,美國,"23,724"
109,美洲,智利,1
109,美洲,哥倫比亞,1
109,美洲,聖露西亞,2
109,美洲,宏都拉斯,4
109,美洲,聖克里斯多福及尼維斯,6
109,亞洲,日本,"9,584"
109,亞洲,韓國,"1,382"
109,亞洲,泰國,291
109,亞洲,越南,0
109,亞洲,馬來西亞,346
109,亞洲,印尼,48
109,亞洲,印度,20
109,亞洲,土耳其,28
109,亞洲,菲律賓,66
109,亞洲,新加坡,41
109,亞洲,阿曼,1
109,亞洲,蒙古,1
109,亞洲,約旦,6
109,大洋洲,澳大利亞,"18,439"
109,大洋洲,紐西蘭,"1,300"
109,大洋洲,斐濟,1
109,大洋洲,帛琉,10
109,非洲,奈及利亞,2
