年度,洲別,name,value
107,歐洲,英國,"3,775"
107,歐洲,法國,"1,079"
107,歐洲,德國,"2,013"
107,歐洲,波蘭,758
107,歐洲,奧地利,400
107,歐洲,捷克,26
107,歐洲,荷蘭,408
107,歐洲,比利時,156
107,歐洲,匈牙利,53
107,歐洲,土耳其,30
107,歐洲,愛爾蘭,18
107,歐洲,俄羅斯,146
107,歐洲,丹麥,16
107,歐洲,芬蘭,71
107,歐洲,挪威,20
107,歐洲,瑞典,133
107,美洲,加拿大,"5,330"
107,美洲,美國,"21,516"
107,美洲,智利,1
107,美洲,哥倫比亞,1
107,美洲,聖露西亞,7
107,美洲,聖克里斯多福及尼維斯,1
107,亞洲,日本,"10,347"
107,亞洲,韓國,123
107,亞洲,泰國,199
107,亞洲,越南,60
107,亞洲,馬來西亞,498
107,亞洲,印尼,25
107,亞洲,印度,18
107,亞洲,緬甸,1
107,亞洲,新加坡,2
107,亞洲,科威特,9
107,亞洲,以色列,29
107,亞洲,沙烏地阿拉伯,22
107,亞洲,阿拉伯聯合大公國(杜拜地區),4
107,亞洲,巴林,1
107,大洋洲,澳大利亞,"18,227"
107,大洋洲,紐西蘭,"2,070"
